director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Joachim Rønning Espen Sandberg,Johnny Depp,Javier Bardem,Geoffrey Rush,Adventure Action Fantasy Comedy,pirates of the caribbean: dead men tell no tales,Johnny DeppJavier BardemGeoffrey RushJoachim Rønning Espen SandbergAdventure Action Fantasy Comedy
Zack Snyder,Ben Affleck,Henry Cavill,Gal Gadot,Action Adventure Fantasy Sci-Fi,justice league,Ben AffleckHenry CavillGal GadotZack SnyderAction Adventure Fantasy Sci-Fi
Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Action Adventure Fantasy Sci-Fi,thor: ragnarok,Chris HemsworthTom HiddlestonCate BlanchettTaika WaititiAction Adventure Fantasy Sci-Fi
James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Action Adventure Comedy Sci-Fi,guardians of the galaxy vol. 2,Chris PrattZoe SaldanaDave BautistaJames GunnAction Adventure Comedy Sci-Fi
Sean McNamara,Pierce Brosnan,William Hurt,Benjamin Walker,Fantasy Action Adventure,the king's daughter,Pierce BrosnanWilliam HurtBenjamin WalkerSean McNamaraFantasy Action Adventure
Adam Spinks,Ben Loyd-Holmes,Sarah Mac,Neil Newbon,Thriller Adventure,extinction: nature has evolved,Ben Loyd-HolmesSarah MacNeil NewbonAdam SpinksThriller Adventure
Rucha Humnabadkar,Ali Fazal,Melanie Chandra,Omi Vaidya,Drama Comedy,for here or to go?,Ali FazalMelanie ChandraOmi VaidyaRucha HumnabadkarDrama Comedy
Sarik Andreasyan,Anton Pampushnyy,Sanzhar Madiyev,Sebastien Sisak,Action Fantasy Sci-Fi,guardians,Anton PampushnyySanzhar MadiyevSebastien SisakSarik AndreasyanAction Fantasy Sci-Fi
Peter Hutchings,Victoria Justice,Eden Sher,Ashley Rickards,Comedy,the outcasts,Victoria JusticeEden SherAshley RickardsPeter HutchingsComedy
Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,Action Adventure Fantasy,wonder woman,Gal GadotChris PineRobin WrightPatty JenkinsAction Adventure Fantasy
Kevin Munroe,Chris Murphy,Ian James Corlett,Matt Olsen,Animation Adventure Comedy Action Family,sly cooper,Chris MurphyIan James CorlettMatt OlsenKevin MunroeAnimation Adventure Comedy Action Family
James Ponsoldt,Emma Watson,Tom Hanks,John Boyega,Drama Thriller Sci-Fi,the circle,Emma WatsonTom HanksJohn BoyegaJames PonsoldtDrama Thriller Sci-Fi
Trish Sie,Anna Kendrick,Rebel Wilson,Brittany Snow,Comedy,pitch perfect 3,Anna KendrickRebel WilsonBrittany SnowTrish SieComedy
unknown,Donnie Yen,unknown,unknown,unknown,the master,Donnie Yenunknownunknownunknownunknown
Sean Byrne,Ethan Embry,Shiri Appleby,Kiara Glasco,Horror,the devil's candy,Ethan EmbryShiri ApplebyKiara GlascoSean ByrneHorror
